Name,URI,Artist,Release Year,Genre,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_Signature
I Can Do It With a Broken Heart,spotify:track:4q5YezDOIPcoLr8R81x9qy,Taylor Swift,2024,pop,0.701,0.751,0,-8.39,1,0.0502,0.123,0,0.15,0.22,129.994,218005,4
Chills (LA Hills),spotify:track:1O8aHcA2gPhwDIJovDetN8,Tiësto,2023,"big room, brostep, dutch edm, edm, house, pop dance, progressive electro house, slap house, trance",0.784,0.772,0,-6.294,1,0.0567,0.022,0.000312,0.124,0.434,114.99,183652,4
Say It Isn't So,spotify:track:1ATq1R2bLeKXOSti9kzj5f,Daryl Hall & John Oates,1983,"album rock, classic rock, mellow gold, rock, singer-songwriter, soft rock, yacht rock",0.774,0.788,4,-7.069,0,0.0281,0.118,0,0.153,0.972,114.152,257093,4
Figa De Guiné,spotify:track:1oekqvXHit1f8Rirv9uSH7,Alcione,2021,"axe, mpb, musica maranhense, pagode, pagode novo, samba",0.638,0.727,0,-7.56,0,0.0563,0.639,0,0.117,0.946,97.984,139360,4
If and Any Day,spotify:track:2yI1HdFEHDFrkpbeII3heB,Seals and Crofts,1980,"album rock, classic rock, folk rock, mellow gold, singer-songwriter, soft rock, yacht rock",0.656,0.377,11,-11.722,1,0.0493,0.156,3.52e-05,0.0866,0.491,128.809,241693,4
FuckACoSign,spotify:track:404ZDl1G0hBUD3GPN0R7dd,Banni Osama,2023,Unknown,0.772,0.765,10,-8.669,0,0.197,0.0123,0.00261,0.25,0.868,93.046,239955,4
Too Hot,spotify:track:0jNTJSaktLVy8iAi7KY2zB,Kool & The Gang,1979,"disco, funk, motown, soft rock, soul",0.717,0.253,7,-22.231,0,0.161,0.56,2.85e-05,0.0556,0.737,105.289,295160,4
When Did Your Heart Go Missing?,spotify:track:60okmgzrYnFh2nXfi0XxWR,Rooney,2007,modern power pop,0.598,0.93,9,-4.014,0,0.0466,0.00176,0,0.0353,0.97,175.795,213333,4
Could It Be I'm Falling in Love,spotify:track:5i0urffBRKl09GSX2Jhdeh,The Spinners,1973,"classic soul, disco, funk, motown, philly soul, quiet storm, soul, southern soul",0.382,0.727,9,-6.677,0,0.0861,0.729,0,0.196,0.826,207.265,249733,4
Sensitive Soul,spotify:track:5f2N7oBVD4avbt6c1VMzST,Jerry Corbetta,1978,"deep soft rock, rock keyboard",0.733,0.501,7,-8.9,1,0.045,0.122,0,0.134,0.618,117.426,202893,4
Heavy On My Heart,spotify:track:1IjxlfejE7sf6C70vYGcmw,LUCKI,2024,plugg,0.785,0.567,6,-9.471,0,0.252,0.00335,0,0.0801,0.349,127.917,163176,4
Designer Thangs,spotify:track:3EB9E9pczPstFPH8LyT5FW,tana,2024,"bedroom r&b, hyperpop francais",0.468,0.765,11,-5.003,0,0.121,0.0442,0,0.0965,0.184,180.029,216000,4
Steal Away - Remastered,spotify:track:7v5rsCN3LhX9XaIlWyTdx3,Robbie Dupree,1980,yacht rock,0.72,0.569,2,-11.466,1,0.0418,0.142,0.000188,0.0629,0.713,122.403,213973,4
I Couldn't Explain Why,spotify:track:5ABPJPxHg1dA61SkTHhImm,Citizen Cope,2010,alternative rock,0.543,0.921,7,-4.761,1,0.0566,0.0778,0.000587,0.0804,0.794,160.193,222987,4
"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",spotify:track:6nLvaCZFR1wEzW3sIKpsnr,Amy Winehouse,2006,"british soul, neo soul",0.772,0.371,5,-5.743,0,0.0348,0.745,0,0.167,0.684,96.574,233733,4
Linger,spotify:track:0gEyKnHvgkrkBM6fbeHdwK,The Cranberries,1993,"irish rock, pop rock, rock",0.439,0.434,7,-14.918,1,0.0265,0.0783,5.18e-05,0.14,0.204,94.843,274707,4
Billie (loving arms),spotify:track:1vW12BfxjOQKYElBm9ttW9,Fred again..,2021,"edm, house, stutter house",0.648,0.775,5,-4.798,1,0.0694,0.0561,0,0.444,0.371,128.072,217266,4
Summer 91 (Looking Back),spotify:track:4FEcEwbE2vsqhxbTPtiNTL,Noizu,2021,"bass house, house, tech house",0.509,0.953,11,-4.954,0,0.0414,0.0159,3.3e-05,0.28,0.406,125.015,180000,4
All In My Head,spotify:track:0bTcsfvvELwAupgm0DxhjK,BKAYE,2023,stutter house,0.593,0.944,0,-4.387,1,0.036,0.106,0.0178,0.161,0.0846,127.966,153750,4
places to be,spotify:track:561pBFcFL2Pwb9HPO9tU8J,Fred again..,2024,"edm, house, stutter house",0.548,0.878,10,-5.154,1,0.0598,0.0253,0.000934,0.0909,0.826,174.043,226677,4
Somewhere Only We Know,spotify:track:6uNP8aOZphmhsYlOwRhNh1,Keane,2004,"neo mellow, piano rock, pop rock",0.456,0.644,9,-5.317,1,0.0253,0.0794,1.07e-06,0.0796,0.381,172.233,238787,4
The Night We Met,spotify:track:0QZ5yyl6B6utIWkxeBDxQN,Lord Huron,2015,"indie folk, stomp and holler",0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.641,0.1,86.997,208212,3
This Time I'm In It For Love,spotify:track:0WEbxRkrGvgDQ5eBm6iH8n,Player,1977,"soft rock, yacht rock",0.687,0.409,7,-11.369,1,0.0301,0.0898,7.21e-06,0.0768,0.828,104.448,265221,4
Yandel 150,spotify:track:2oiixB9QMIzhWaHGVlQx4g,Yandel,2022,"latin hip hop, reggaeton, trap latino, urbano latino",0.783,0.729,6,-3.549,0,0.0691,0.0492,0.000272,0.1,0.58,167.968,216148,4
Obsesion,spotify:track:65H6t1WQBim6q93yM8fEwn,Aventura,2002,"bachata, bachata dominicana, latin hip hop, latin pop, tropical, urbano latino",0.804,0.56,1,-6.912,0,0.0397,0.416,0,0.0608,0.768,133.682,254720,4
Love Is the Answer,spotify:track:2jto2mk883akXynLqkdung,England Dan & John Ford Coley,1979,"mellow gold, soft rock",0.393,0.495,0,-14.033,0,0.0428,0.137,0.000269,0.134,0.624,202.297,284720,4
You Really Got Me - 2015 Remaster,spotify:track:0upLyFR8Rr52ZpMp5esQoq,Van Halen,1978,"album rock, classic rock, hard rock, rock",0.454,0.946,1,-5.978,0,0.13,0.0223,0,0.173,0.647,138.18,156147,4
Whatever She Wants,spotify:track:57wp7VFnV8X0pSVnYArGeJ,Bryson Tiller,2024,"kentucky hip hop, r&b, rap",0.803,0.512,9,-6.871,0,0.066,0.128,0,0.0928,0.435,96.02,161342,4
My Mind,spotify:track:1o0tOUwRDX6isTfSPxzXkD,Belters Only,2023,charva,0.536,0.876,5,-4.641,0,0.0483,0.607,0.0135,0.356,0.637,123.915,167747,4
XXX,spotify:track:23NCkVILmpLFV6HAe4dOCf,BLK ODYSSY,2024,alternative r&b,0.706,0.888,4,-4.866,0,0.0962,0.0287,0.000347,0.114,0.53,97.502,158739,4
Moving Men,spotify:track:3OrQzlqFmedMua5WxgCVrI,Myd,2021,"filter house, french indie pop, french indietronica, new french touch",0.823,0.664,10,-8.673,1,0.0755,0.102,0.114,0.287,0.666,124.962,167093,3
Neverender,spotify:track:0ccoGCaOFCxI6pHixrQpKj,Justice,2024,"alternative dance, dance-punk, electronica, filter house, indietronica, neo-synthpop, new rave",0.563,0.44,6,-10.01,0,0.0608,0.0258,7.62e-06,0.227,0.417,116.988,266493,4
Weird Fishes/ Arpeggi,spotify:track:4wajJ1o7jWIg62YqpkHC7S,Radiohead,2007,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock",0.531,0.61,11,-8.025,0,0.0387,0.772,0.756,0.0908,0.199,152.958,318187,4
Hands In The Sky (Big Shot),spotify:track:6RJJxFkLGM3Ch6MeBNFlRW,Straylight Run,2005,"emo, piano rock",0.546,0.647,4,-6.524,0,0.0406,0.26,0.000549,0.113,0.178,112.025,342293,4
Wonder,spotify:track:5Hz6aGrZZizNBoJ6kE6Rqi,Natalie Merchant,1995,"ectofolk, folk, lilith, singer-songwriter",0.719,0.739,1,-5.577,1,0.0419,0.346,0.0102,0.0581,0.603,115.142,266008,4
Hot Rod Hearts - Remastered,spotify:track:1QEZIhNmz28cJ2Lr45MKJ4,Robbie Dupree,1980,yacht rock,0.601,0.487,7,-11.119,1,0.0335,0.334,1.6e-06,0.315,0.674,118.371,221433,4
Cold,spotify:track:6ZxrUCaynLgKSUudACOTwj,Crossfade,2004,"alternative metal, nu metal, post-grunge",0.451,0.815,2,-5.55,0,0.0368,6.06e-05,0,0.27,0.618,147.974,194227,4
Be There One More Time,spotify:track:6ICp0LJ8UYg4QHfr4a4Vhk,Taska Black,2020,"bass trap, future bass, pop edm, vapor twitch",0.498,0.524,9,-6.623,0,0.0689,0.45,0.00344,0.124,0.219,125.432,184320,4
Go Back (feat. Julia Church),spotify:track:68R0zVUeMJ2C852Ov6d2Mh,John Summit,2024,"house, pop dance, uk dance",0.392,0.924,7,-1.723,0,0.0572,0.163,0.000268,0.11,0.0555,136.013,220538,4
All That's Left,spotify:track:0av5uywwf2SSwbJLQ99OtZ,Manila Killa,2016,"future bass, pop edm, vapor twitch",0.732,0.696,0,-5.242,0,0.0285,0.309,0.000525,0.188,0.281,106.994,218175,4
So High (feat. Ghost Loft),spotify:track:0odHj0qIf86vHBsXB30IkZ,Wiz Khalifa,2014,"hip hop, pittsburgh rap, pop rap, rap, southern hip hop, trap",0.628,0.629,6,-4.829,0,0.0485,0.118,0,0.102,0.3,157.99,249288,4
Enough - Baltra Remix,spotify:track:58K9dWU3qgyT8uROqH6VHT,Appleby,2021,Unknown,0.644,0.695,6,-6.538,1,0.0341,0.0796,0.145,0.0912,0.614,125.005,222893,4
The Beauty of Existence,spotify:track:37uqn8QuQ6WABo5EcfMu7g,Muhammad Al Muqit,2018,nasheed,0.516,0.19,6,-11.421,0,0.0272,0.946,0,0.118,0.307,82.528,260493,4
Don’t Forget My Love,spotify:track:3LnETnq2xyUpKcGqAQLJy1,Diplo,2022,"dance pop, edm, electro house, moombahton, pop dance",0.639,0.873,2,-6.222,1,0.0408,0.0237,0.0143,0.119,0.258,121.031,199091,4
Asking,spotify:track:4bz8Z7squfs2Yji2DwoujR,Sonny Fodera,2023,"house, pop dance, uk dance",0.477,0.854,4,-5.274,0,0.0896,0.0213,1.67e-05,0.19,0.395,126.965,191591,4
Phone,spotify:track:4Y3xYddcLDgr2qm0xVdGgW,MEDUZA,2023,"edm, pop dance, pop house, uk dance",0.651,0.604,3,-7.896,0,0.0602,0.06,0,0.302,0.408,130.029,155077,4
I Was Made For Lovin’ You - from The Fall Guy,spotify:track:55ikcenXPbQdzCnO1sOuYg,YUNGBLUD,2024,"british indie rock, modern rock, pov: indie, rock",0.333,0.637,2,-8.428,0,0.0427,0.00763,0,0.12,0.274,129.868,261520,4
Cupid's Chokehold / Breakfast in America,spotify:track:2Lhdl74nwwVGOE2Gv35QuK,Gym Class Heroes,2005,"dance pop, pop rap",0.72,0.744,1,-6.938,0,0.12,0.237,0,0.255,0.619,78.953,243773,4
California,spotify:track:35QAUfIbfIXT3p3cWhaKxZ,The Lagoons,2016,la indie,0.786,0.686,4,-7.18,1,0.0289,0.276,0.668,0.0416,0.542,119.997,261773,4
Atavista,spotify:track:6Lj4RhwPsVfMn7tsA5i8jW,Childish Gambino,2024,"atl hip hop, hip hop, rap",0.663,0.702,7,-7.192,1,0.0336,0.147,0.0218,0.214,0.391,89.98,181667,4
Catching Villains,spotify:track:4S9igu2YyLNTUdP6UTlGb0,Chizzy Stephens,2017,Unknown,0.749,0.735,7,-4.146,1,0.0422,0.241,0,0.118,0.349,144.99,182367,4
Right Above It,spotify:track:1kMuU3TNQvHbqvXCWBodmP,Lil Wayne,2010,"hip hop, new orleans rap, pop rap, rap, trap",0.345,0.841,3,-4.348,0,0.367,0.0435,0,0.578,0.461,72.351,271947,4
scars,spotify:track:016z46SJwcRosW9Xb8JKmF,Novulent,2023,"texasgaze, zoomergaze",0.339,0.842,9,-4.65,1,0.048,0.00317,1.4e-05,0.107,0.144,83.942,95002,4
play pretend,spotify:track:2qqc9tXKiSBrYDviqD18V9,Cybertrash,2022,"bedroom r&b, hyperpop",0.475,0.775,6,-6.197,1,0.104,0.109,0,0.324,0.586,77.564,117781,4
I Had Some Help (Feat. Morgan Wallen),spotify:track:7221xIgOnuakPdLqT0F3nP,Post Malone,2024,"dfw rap, melodic rap, pop, rap",0.638,0.855,7,-4.86,1,0.0264,0.00757,0,0.245,0.731,127.986,178206,4
